rank,score,feature_jaccard,best_view,id1,cat1,id2,cat2,planted,held_out
67,0.4591,0.3636,core-core,1406.2405,q-bio.PE,2401.00822,cond-mat.stat-mech,,False
68,0.4550,0.5000,skel-skel,1402.1384,cs.IT,2012.11533,eess.SY,,False
69,0.4550,0.5000,skel-skel,1402.1384,cs.IT,2401.00657,math.OC,,False
70,0.4550,0.5000,skel-core,1402.1384,cs.IT,2401.00664,math.OC,,False
71,0.4550,0.5000,skel-core,1402.1384,cs.IT,2401.00839,econ.TH,,False
72,0.4550,0.5000,core-skel,1504.03074,q-fin.PR,2401.01397,physics.soc-ph,,False
73,0.4550,0.5000,core-core,1702.01718,math.AP,2401.00743,q-bio.PE,,False
74,0.4550,0.5000,skel-core,2012.11533,eess.SY,2401.00664,math.OC,,False
75,0.4550,0.5000,skel-core,2202.04557,cs.NE,2401.00657,math.OC,,False
76,0.4550,0.5000,skel-skel,2203.16300,eess.SY,2401.00839,econ.TH,,False
77,0.4450,0.4000,skel-skel,1506.01137,q-bio.PE,2401.00657,math.OC,,False
78,0.4450,0.4000,skel-skel,2203.16300,eess.SY,2401.00657,math.OC,,False
79,0.4450,0.4000,skel-skel,2401.00657,math.OC,2401.01632,q-bio.PE,,False
80,0.4393,0.4286,core-core,2004.01025,cs.LG,2402.13378,econ.TH,,False
81,0.4393,0.4286,skel-core,2401.00688,cs.SI,2401.00940,econ.TH,,False
82,0.4387,0.3750,core-skel,1402.1384,cs.IT,1607.07287,cond-mat.stat-mech,maxent_inference,False
83,0.4333,0.3333,skel-skel,1008.3331,cond-mat.stat-mech,2401.01171,physics.soc-ph,,False
84,0.4333,0.3333,skel-skel,1008.3331,cond-mat.stat-mech,2401.01850,nlin.AO,,False
85,0.4333,0.3333,core-core,1402.1384,cs.IT,2401.00623,math.AP,,False
86,0.4333,0.3333,core-core,1406.2405,q-bio.PE,2401.00671,math.PR,,False
87,0.4333,0.3333,skel-skel,1406.2405,q-bio.PE,2401.01850,nlin.AO,,False
88,0.4333,0.3333,skel-skel,1504.03074,q-fin.PR,2007.02182,quant-ph,,False
89,0.4333,0.3333,skel-skel,1506.01137,q-bio.PE,2004.01025,cs.LG,,False
90,0.4333,0.3333,skel-skel,1506.01137,q-bio.PE,2202.04557,cs.NE,,False
